Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,49.810001,51.799999,47.549999,47.930000,41.164169,97449400
2021-03-01,48.419998,56.779999,46.310001,54.900002,47.599781,146081500
2021-04-01,54.570000,57.049999,52.119999,53.099998,46.039124,103269900
2021-05-01,53.439999,55.959999,51.119999,52.660000,45.657635,104457900
2021-06-01,52.990002,55.820000,50.650002,52.610001,46.007122,98038600
2021-07-01,51.820000,52.029999,45.090000,47.150002,41.232384,159839900
2021-08-01,47.419998,50.869999,46.189999,50.750000,44.380562,104164800
2021-09-01,50.730000,51.930000,46.919998,47.049999,41.550095,107812000
2021-10-01,47.130001,51.779999,45.230000,47.020000,41.523602,137689800
2021-11-01,47.099998,50.980000,44.410000,44.799999,39.563110,131031600
2021-12-01,45.299999,52.919998,43.619999,52.160000,46.507912,124681800
2022-01-01,52.259998,55.000000,49.009998,49.759998,44.367977,143600900
2022-02-01,49.330002,50.970001,43.930000,46.090000,41.095665,121279400
2022-03-01,45.910000,48.970001,44.169998,44.770000,40.321236,162304600
2022-04-01,44.540001,47.279999,42.340000,42.400002,38.186745,154223200
2022-05-01,42.630001,45.299999,39.720001,43.830002,39.474644,158874000
2022-06-01,43.900002,43.990002,37.709999,37.900002,34.534870,138086400
2022-07-01,37.630001,39.790001,36.570000,39.619999,36.102146,121564400
2022-08-01,39.619999,42.099998,35.029999,35.060001,31.947033,150091000
2022-09-01,34.959999,37.200001,31.230000,31.400000,28.952028,156117400
2022-10-01,31.809999,36.810001,30.389999,36.500000,33.654430,190025400
2022-11-01,36.660000,41.970001,35.139999,41.500000,38.264626,141330400
2022-12-01,41.509998,42.290001,36.970001,37.360001,34.852844,111968700
2023-01-01,37.849998,37.950001,34.299999,36.860001,34.386398,147716600
2023-02-01,36.820000,37.959999,35.270000,35.529999,33.145649,110375100
2023-03-01,35.250000,36.209999,31.860001,34.580002,32.686333,179213600
2023-04-01,34.889999,36.580002,34.369999,35.250000,33.319637,115406400
2023-05-01,35.299999,35.360001,29.480000,30.370001,28.706879,163321100
2023-06-01,30.290001,32.889999,28.139999,28.490000,27.339409,237955000
2023-07-01,28.389999,31.320000,28.309999,29.969999,28.759638,174166600
2023-08-01,29.969999,30.790001,24.969999,25.309999,24.287834,176663000
2023-09-01,25.170000,25.260000,20.580000,22.240000,21.725780,309859500
2023-10-01,22.240000,24.629999,20.480000,21.080000,20.592602,294287600
2023-11-01,20.969999,22.219999,19.680000,19.940001,19.478960,207142200
2023-12-01,19.950001,27.020000,19.750000,26.110001,26.110001,282898800
2024-01-01,26.070000,27.049999,22.580000,24.680000,24.680000,178360900
2024-01-11,24.500000,24.930000,24.290001,24.315001,24.315001,2244400
