Date,Open,High,Low,Close,Adj Close,Volume
2021-01-11,89.303497,89.715752,86.077499,86.809502,86.809502,123650000
2021-01-18,87.612503,96.742996,87.072998,95.052498,95.052498,151218000
2021-01-25,96.033501,96.478996,90.449997,91.787003,91.787003,187488000
2021-02-01,92.678497,105.824997,92.546501,104.900002,104.900002,227630000
2021-02-08,105.295502,106.177353,103.154503,105.205498,105.205498,101374000
2021-02-15,105.218002,107.634003,104.870499,105.056999,105.056999,95674000
2021-02-22,103.349998,105.039001,100.100998,101.843002,101.843002,163902000
2021-03-01,102.825996,105.905502,100.500000,105.427002,105.427002,166730000
2021-03-08,105.056503,106.440498,101.080498,103.096001,103.096001,151564000
2021-03-15,103.114998,106.178001,100.884003,102.160004,102.160004,155300000
2021-03-22,102.092003,103.910500,100.536499,101.777496,101.777496,147764000
2021-03-29,101.393997,107.147003,100.780998,106.887497,106.887497,108506000
2021-04-05,107.647003,114.452003,107.581001,114.293999,114.293999,144210000
2021-04-12,113.312500,115.329849,111.923248,114.888000,114.888000,124916000
2021-04-19,114.598999,116.291000,112.822502,115.764999,115.764999,120158000
2021-04-26,115.996498,122.618896,115.213501,120.505997,120.505997,191230000
2021-05-03,120.136002,120.985001,115.584999,119.934502,119.934502,134604000
2021-05-10,118.744499,118.900002,111.502502,115.807999,115.807999,146344000
2021-05-17,115.466003,118.449997,113.176003,117.254997,117.254997,103158000
2021-05-24,118.349998,122.147202,118.005501,120.578003,120.578003,125008000
2021-05-31,121.099998,122.692947,119.141502,122.587997,122.587997,80618000
2021-06-07,122.566002,126.349503,122.053650,125.696503,125.696503,125510000
2021-06-14,125.669502,127.196503,124.149948,125.567497,125.567497,150110000
2021-06-21,125.739998,127.795998,125.134247,126.995003,126.995003,119352000
2021-06-28,127.000000,128.848007,124.757500,128.718994,128.718994,111346000
2021-07-05,129.449493,130.639893,128.039993,129.574493,129.574493,72916000
2021-07-12,129.833496,132.996002,129.600006,131.845505,131.845505,82916000
2021-07-19,131.155502,138.808502,128.537003,137.815994,137.815994,99522000
2021-07-26,138.250000,140.011002,134.814194,135.220993,135.220993,163142000
2021-08-02,135.484497,137.080048,134.183502,137.035995,137.035995,81158000
2021-08-09,136.949005,138.847748,136.428757,138.406006,138.406006,70838000
2021-08-16,138.000000,138.990494,135.356003,138.436996,138.436996,88106000
2021-08-23,138.998505,145.011002,138.747955,144.550507,144.550507,88538000
2021-08-30,144.704498,146.820496,143.505005,144.774994,144.774994,100444000
2021-09-06,144.749496,146.018997,141.741501,141.921005,141.921005,78350000
2021-09-13,143.201004,145.581497,141.061493,141.463501,141.463501,140072000
2021-09-20,139.000198,142.903503,137.052994,142.632996,142.632996,107338000
2021-09-27,141.585495,142.500000,133.000000,136.462494,136.462494,151054000
