Date,Open,High,Low,Close,Adj Close,Volume
2021-01-11,74.250000,76.480003,74.250000,76.070000,70.281960,6675000
2021-01-12,76.040001,77.230003,75.540001,76.260002,70.457489,5641300
2021-01-13,75.949997,76.120003,74.519997,74.919998,69.219467,6223800
2021-01-14,75.000000,75.680000,74.339996,75.050003,69.339569,5088100
2021-01-15,75.019997,76.449997,74.849998,76.260002,70.457489,8110300
2021-01-19,77.000000,77.000000,75.309998,75.400002,69.662933,5919000
2021-01-20,75.419998,75.459999,74.589996,75.250000,69.524361,4764400
2021-01-21,74.699997,74.860001,73.540001,74.080002,68.901192,5029500
2021-01-22,73.730003,74.300003,73.019997,74.120003,68.938400,4183600
2021-01-25,73.500000,73.529999,72.160004,73.209999,68.092018,7554800
2021-01-26,73.370003,74.379997,73.279999,74.230003,69.040695,4667600
2021-01-27,73.529999,74.190002,72.190002,72.419998,67.357239,6279800
2021-01-28,72.440002,73.790001,72.220001,72.610001,67.533951,5020000
2021-01-29,72.519997,73.300003,71.040001,71.650002,66.641068,6469500
2021-02-01,72.080002,72.470001,71.339996,71.459999,66.464355,5207100
2021-02-02,71.699997,72.650002,71.199997,71.830002,66.808487,5543900
2021-02-03,71.739998,73.669998,71.339996,73.239998,68.119911,6128200
2021-02-04,73.400002,74.040001,72.790001,73.000000,67.896683,8117500
2021-02-05,73.230003,73.360001,71.930000,72.180000,67.134010,6421800
2021-02-08,72.470001,72.989998,72.169998,72.980003,67.878090,5826900
2021-02-09,73.239998,74.139999,72.849998,73.489998,68.352425,8100200
2021-02-10,73.949997,74.160004,72.809998,73.830002,68.668671,4752800
2021-02-11,74.000000,74.080002,72.919998,73.599998,68.454742,4725500
2021-02-12,73.570000,74.559998,73.540001,74.209999,69.022110,5870600
2021-02-16,75.269997,75.389999,70.190002,70.529999,65.599365,18932600
2021-02-17,70.250000,72.849998,70.120003,72.709999,67.626976,13280300
2021-02-18,72.650002,72.970001,71.320000,71.519997,66.520157,7328800
2021-02-19,71.400002,71.419998,70.290001,70.419998,65.497047,6530800
2021-02-22,70.300003,70.639999,69.370003,70.480003,65.552856,6054900
2021-02-23,69.720001,70.800003,69.459999,69.639999,64.771576,8150600
2021-02-24,69.889999,70.540001,69.389999,70.400002,65.478462,5826100
2021-02-25,69.980003,70.650002,69.160004,69.330002,64.483269,5243400
2021-02-26,69.269997,69.330002,68.019997,68.129997,63.367142,10227500
2021-03-01,68.419998,69.570000,68.260002,69.279999,64.436752,5656500
2021-03-02,69.489998,69.639999,68.870003,68.940002,64.120514,5251800
2021-03-03,68.970001,69.510002,68.279999,69.029999,64.204224,6192100
2021-03-04,68.959999,70.040001,68.419998,69.169998,64.334442,7396700
2021-03-05,69.400002,70.949997,69.160004,70.629997,65.692383,8295600
2021-03-08,71.290001,72.540001,70.779999,71.730003,66.715477,9007400
2021-03-09,72.349998,73.050003,71.180000,71.230003,66.250427,8697300
